q_id,topic,query,,,
1,RE-ELECTION OF MLAS,Who served UP assembly for the longest time?,,,
2,RE-ELECTION OF MLAS,How many MLAs got reelected in 2022?,,,
3,RE-ELECTION OF MLAS,How many MLAs got reelected in 2017?,,,
4,RE-ELECTION OF MLAS,How many MLAs got reelected in the last five Assembly Elections?,,,
5,RE-ELECTION OF MLAS,How many MLAs got reelected in the last ten Assembly Elections?,,,
6,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2017?,,,
7,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2022?,,,
8,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in the last five elections?,,,
9,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2017?,,,
10,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2022?,,,
11,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in the last five elections?,,,
12,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2017?,,,
13,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2022?,,,
14,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in the last five elections?,,,
15,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2017?,,,
16,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2022?,,,
17,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in the last five elections?,,,
18,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2017?,,,
19,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2022?,,,
20,RE-ELECTION OF MLAS,How many independent MLAs got reelected in the last five elections?,,,
21,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2022 election?,,,
22,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2017 election?,,,
23,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2022 election?,,,
24,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2017 election?,,,
25,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2022 election?,,,
26,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2017 election?,,,
27,MAXIMUM MARGIN,Who registered the highest victory margin in the 2022 election?,,,
28,MAXIMUM MARGIN,Who registered the highest victory margin in the 2017 election?,,,
29,MAXIMUM MARGIN,Who registered the highest victory margin in the last five elections?,,,
30,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2022 election?,,,
31,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2022 election?,,,
32,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2022 election?,,,
33,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2022 election?,,,
34,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2017 election?,,,
35,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2017 election?,,,
36,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2017 election?,,,
37,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2017 election?,,,
38,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2022 election?,,,
39,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2017 election?,,,
40,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2022 election?,,,
41,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2017 election?,,,
42,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2022 election?,,,
43,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2017 election?,,,
44,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2022 election?,,,
45,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2017 election?,,,
46,MINIMUM MARGIN,Who registered the lowest victory margin in the 2022 election?,,,
47,MINIMUM MARGIN,Who registered the lowest victory margin in the 2017 election?,,,
48,MINIMUM MARGIN,Who registered the lowest victory margin in the last five elections?,,,
49,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2022 election?,,,
50,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2022 election?,,,
51,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2022 election?,,,
52,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2022 election?,,,
53,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2017 election?,,,
54,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2017 election?,,,
