q_id,topic,query,ground_truth
1,REELECTION OF MPS,How many MPs got reelected in 2019?,1022
2,REELECTION OF MPS,How many MPs got reelected in 2014?,1186
3,REELECTION OF MPS,How many MPs got reelected in the last five Assembly Elections?,5155
4,REELECTION OF MPS,How many MPs got reelected in the last ten Assembly Elections?,
5,REELECTION OF MPS,How many MPs of SP got reelected in 2014?,45
6,REELECTION OF MPS,How many MPs of SP got reelected in 2019?,26
7,REELECTION OF MPS,How many MPs of SP got reelected in the last five elections?,193
8,REELECTION OF MPS,How many MPs of BSP got reelected in 2014?,49
9,REELECTION OF MPS,How many MPs of BSP got reelected in 2019?,35
10,REELECTION OF MPS,How many MPs of BSP got reelected in the last five elections?,213
11,REELECTION OF MPS,How many MPs of BJP got reelected in 2014?,164
12,REELECTION OF MPS,How many MPs of BJP got reelected in 2019?,214
13,REELECTION OF MPS,How many MPs of BJP got reelected in the last five elections?,934
14,REELECTION OF MPS,How many MPs of Congress got reelected in 2014?,211
15,REELECTION OF MPS,How many MPs of Congress got reelected in 2019?,135
16,REELECTION OF MPS,How many MPs of Congress got reelected in the last five elections?,890
17,REELECTION OF MPS,How many independent MPs got reelected in 2014?,291
18,REELECTION OF MPS,How many independent MPs got reelected in 2019?,222
19,REELECTION OF MPS,How many independent MPs got reelected in the last five elections?,1113
20,REELECTION OF MPS,How many MPs of TMC got reelected in 2014?,22
21,REELECTION OF MPS,How many MPs of TMC  got reelected in 2019?,29
22,REELECTION OF MPS,How many MPs of TMC got reelected in the last five elections?,84
23,REELECTION OF MPS,How many MPs of CPI got reelected in 2014?,13
24,REELECTION OF MPS,How many MPs of CPI got reelected in 2019?,5
25,REELECTION OF MPS,How many MPs of CPI got reelected in the last five elections?,61
26,MAXIMUM MARGIN,How many MP won with more than one lakh votes in 2019 election?,537
27,MAXIMUM MARGIN,How many MP won with more than one lakh votes in 2014 election?,538
28,MAXIMUM MARGIN,How many MP won with more than Fifty thousand votes in 2019 election?,539
29,MAXIMUM MARGIN,How many MP won with more than Fifty thousand votes in 2014 election?,540
30,MAXIMUM MARGIN,How many MP won with more than Twenty Five thousand votes in 2019 election?,542
31,MAXIMUM MARGIN,How many MP won with more than Twenty Five thousand votes in 2014 election?,542
32,MAXIMUM MARGIN,Who registered the highest victory margin in the 2019 election?,C. R. Patil
33,MAXIMUM MARGIN,Who registered the highest victory margin in the 2014 election?,NARENDRA MODI
34,MAXIMUM MARGIN,Who registered the highest victory margin in the last five elections?,C. R. Patil
35,MAXIMUM MARGIN,How many MP of BJP have victory margin over ten thousand votes in 2019 election?,303
36,MAXIMUM MARGIN,How many MP of TMC have victory margin over ten thousand votes in 2019 election?,22
37,MAXIMUM MARGIN,How many MP of Congress have victory margin over ten thousand votes in 2019 election?,52
38,MAXIMUM MARGIN,How many MP of CPI have victory margin over ten thousand votes in 2019 election?,2
39,MAXIMUM MARGIN,How many MP of BSP have victory margin over ten thousand votes in 2019 election?,10
40,MAXIMUM MARGIN,How many MP of SP have victory margin over ten thousand votes in 2019 election?,5
41,MAXIMUM MARGIN,How many MP of BJP have victory margin over ten thousand votes in 2014 election?,273
42,MAXIMUM MARGIN,How many MP of Congress have victory margin over ten thousand votes in 2014 election?,37
43,MAXIMUM MARGIN,How many MP of BSP have victory margin over ten thousand votes in 2014 election?,0
44,MAXIMUM MARGIN,How many MP of SP have victory margin over ten thousand votes in 2014 election?,5
45,MINIMUM MARGIN,How many MP lost with less than hundred votes in 2019 election?,1
46,MINIMUM MARGIN,How many MP lost with less than hundred votes in 2014 election?,0
47,MINIMUM MARGIN,How many MP lost with less than five hundred votes in 2019 election?,582
48,MINIMUM MARGIN,How many MP lost with less than five hundred votes in 2014 election?,301
49,MINIMUM MARGIN,How many MP lost with less than one thousand votes in 2019 election?,1579
50,MINIMUM MARGIN,How many MP lost with less than one thousand votes in 2014 election?,1117
51,MINIMUM MARGIN,How many MP lost with less than five thousand votes in 2019 election?,5116
52,MINIMUM MARGIN,How many MP lost with less than five thousand votes in 2014 election?,4621
53,MINIMUM MARGIN,Who registered the lowest victory margin in the 2019 election?,Bholanath (B.P. Saroj)
