q_id,topic,query,Ground Truth,,
116,WOMEN CANDIDATES PERFORMANCE,In which year did the maximum number of women contested in UP elections?,In the year 2012 the maximum number of women contested in UP elections.,,
117,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2022 election?,3878,,
118,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2022 election?,561 women candidates contested in the 2022 election.,,
119,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2017 elections?,4370,,
120,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2017 election?,482 women candidates contested in the 2017 election.,,
121,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2022 elections?,CHHIBRAMAU constituency recorded the highest number of female candidates in the 2022 elections with 5 female candidates.,,
122,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2017 elections?,AMETHI,,
123,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2022?,From how many constituencies did women contest the polls in 2022?Answer: Women contested the polls from 318 constituencies in 2022.,,
124,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2017?,From how many constituencies did women contest the polls in 2017?Answer: Women contested the polls from 268 constituencies in 2017.,,
125,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BJP in 2022?,255 seats were won by BJP in 2022.,,
126,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats did SP win in 2022?,SP won 111 seats in 2022.,,
127,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BSP in 2022?,1 seat was won by BSP in 2022.,,
128,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BJP in 2017?,312 seats were won by BJP in 2017.,,
129,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats did SP win in 2027?,SP did not win any seats in 2027.,,
130,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BSP in 2017?,19 seats were won by BSP in 2017.,,
131,SC CANDIDATES PERFORMANCE,How many SC candidates contested in the 2022 elections?,0 SC candidates contested in the 2022 elections.,,
132,SC CANDIDATES PERFORMANCE,Which party fielded the highest number of SC candidates in 2022 election?,No party fielded any SC candidates in the 2022 election.,,
133,SC CANDIDATES PERFORMANCE,Which party has the highest SC winners in 2022 elections? ,BJP has the highest number of SC winners in the 2022 elections with 58 winners.,,
134,SC CANDIDATES PERFORMANCE,How many SC candidates won in the 2022 elections? ,0,,
135,SC CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of SC candidates contesting in 2022 elections?,No constituency witnessed the highest number of SC candidates contesting in the 2022 elections.,,
136,SC CANDIDATES PERFORMANCE,What is the average margin of victory for winners who are SC in 2022 elections? ,The average margin of victory for winners who are SC in the 2022 elections is not available in the database.,,
137,SC CANDIDATES PERFORMANCE,What is the highest margin of victory among SC winners in 2022 elections?,The highest margin of victory among SC winners in the 2022 elections is 110451 votes,451 votes.,
138,SC CANDIDATES PERFORMANCE,How many male SC candidates contested in 2022 elections?,0,,
139,SC CANDIDATES PERFORMANCE,How many female SC candidates contested  in 2022 elections?,0,,
140,SC CANDIDATES PERFORMANCE,Who is the richest SC candidate who won the 2022 elections?,There is no data available for the richest SC candidate who won the 2022 elections.,,
141,SC CANDIDATES PERFORMANCE,Who is the poorest SC candidate who won the 2022 elections?,There is no SC candidate who won the 2022 elections in the given table.,,
142,SC CANDIDATES PERFORMANCE,How many SC candidates contested in the 2017 elections?,1168 SC candidates contested in the 2017 elections.,,
143,SC CANDIDATES PERFORMANCE,Which party fielded the highest number of SC candidates in 2017 election?,IND party fielded the highest number of SC candidates in the 2017 election.,,
144,SC CANDIDATES PERFORMANCE,Which party has the highest SC winners in 2017 elections? ,BJP,,
145,SC CANDIDATES PERFORMANCE,How many SC candidates won in the 2017 elections? ,86 SC candidates won in the 2017 elections.,,
146,SC CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of SC candidates contesting in 2017 elections?,BARA,,
147,SC CANDIDATES PERFORMANCE,What is the average margin of victory for winners who are SC in 2017 elections? ,The average margin of victory for winners who are SC in the 2017 elections is not available in the database.,,
148,SC CANDIDATES PERFORMANCE,What is the highest margin of victory among SC winners in 2017 elections?,The highest margin of victory among SC winners in the 2017 elections is 104643 votes,,
149,SC CANDIDATES PERFORMANCE,How many male SC candidates contested in 2017 elections?,1001,,
150,SC CANDIDATES PERFORMANCE,How many female SC candidates contested  in 2017 elections?,167,,
151,SC CANDIDATES PERFORMANCE,Who is the richest SC candidate who won the 2017 elections?,MANOHAR LAL from BJP is the richest SC candidate who won the 2017 elections with 159291 votes,,
152,SC CANDIDATES PERFORMANCE,Who is the poorest SC candidate who won the 2017 elections?,RAM NARESH RAWAT from BJP is the poorest SC candidate who won the 2017 elections with 65324 votes.,,
153,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2022 assembly elections?,372728,728,
154,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2017 assembly elections?,336576,576,
155,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2007 assembly elections?,278856,856,
156,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2022?,SAHIBABAD had the highest number of voters in 2022.,,
157,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2017?,SAHIBABAD had the highest number of voters in 2017.,,
158,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2007?,GHAZIABAD had the highest number of voters in 2007.,,
159,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2022?,SISAMAU constituency had the lowest number of voters in 2022 with 274629electors,,
160,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2017?,AYAH SHAH,,
161,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2007?,ARYANAGAR,,
