Who served UP assembly for the longest time?
Who served the longest in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
Who served the most terms in the Uttar Pradesh Legislative Assembly?
Who served the longest consecutive terms in the Uttar Pradesh Legislative Assembly?
Who served the most days in the Uttar Pradesh Legislative Assembly?
Who served the longest period in the Uttar Pradesh Legislative Assembly?
Who served the most years in the Uttar Pradesh Legislative Assembly?
Who served the longest time in the Uttar Pradesh Legislative Assembly?
Who had the longest term in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
How many MLAs got reelected in 2022?
Who served the longest in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
Who served the most terms in the Uttar Pradesh Legislative Assembly?
Who served the longest consecutive terms in the Uttar Pradesh Legislative Assembly?
Who served the most days in the Uttar Pradesh Legislative Assembly?
Who served the longest period in the Uttar Pradesh Legislative Assembly?
Who served the most years in the Uttar Pradesh Legislative Assembly?
Who served the longest time in the Uttar Pradesh Legislative Assembly?
Who had the longest term in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
How many MLAs got reelected in 2017?
Who served the longest in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
Who served the most terms in the Uttar Pradesh Legislative Assembly?
Who served the longest consecutive terms in the Uttar Pradesh Legislative Assembly?
Who served the most days in the Uttar Pradesh Legislative Assembly?
Who served the longest period in the Uttar Pradesh Legislative Assembly?
Who served the most years in the Uttar Pradesh Legislative Assembly?
Who served the longest time in the Uttar Pradesh Legislative Assembly?
Who had the longest term in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
How many MLAs got reelected in the last five Assembly Elections?
Who served the longest in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
Who served the most terms in the Uttar Pradesh Legislative Assembly?
Who served the longest consecutive terms in the Uttar Pradesh Legislative Assembly?
Who served the most days in the Uttar Pradesh Legislative Assembly?
Who served the longest period in the Uttar Pradesh Legislative Assembly?
Who served the most years in the Uttar Pradesh Legislative Assembly?
Who served the longest time in the Uttar Pradesh Legislative Assembly?
Who had the longest term in the Uttar Pradesh Legislative Assembly?
Who had the longest tenure in the Uttar Pradesh Legislative Assembly?
How many MLAs got reelected in the last ten Assembly Elections?
