q_id,topic,query,sanika_answered,sanika_sql_query,sanika_sql_reply,sanika_text_reply,sanika_notes,armaan_answered,armaan_sql_query,armaan_sql_reply,armaan_text_reply,armaan_notes
1,general,How many MLA won with more than one lakh votes? ,,,,,,,,,,
2,general,How many MLA won with more than Fifty thousand votes? ,,,,,,,,,,
3,general,How many MLA won with more than Twenty Five thousand votes? ,,,,,,,,,,
4,general,How many MLA won with more than Twenty Five thousand votes? ,,,,,,,,,,
5,general,Who registered the highest victory margin in the election? ,,,,,,,,,,
6,general,How many MLA of BJP have victory margin over ten thousand votes?? ,,,,,,,,,,
7,general,How many MLA of Congress have victory margin over ten thousand votes?,,,,,,,,,,
8,general,Number of candidates fielded by the BJP?,,,,,,,,,,
9,general,Number of candidates fielded by the JD(S)?,,,,,,,,,,
10,general,Number of candidates fielded by the Congress?,,,,,,,,,,
11,maximum_margin,How many MLA won with more than one lakh votes in 2023 election? ,,,,,,,,,,
12,maximum_margin,How many MLA won with more than Fifty thousand votes in 2023 election? ,,,,,,,,,,
13,maximum_margin,How many MLA won with more than Twenty Five thousand votes in 2023 election? ,,,,,,,,,,
14,maximum_margin,Who registered the highest victory margin in the 2023 election?,,,,,,,,,,
15,maximum_margin,How many MLA of BJP have victory margin over ten thousand votes in 2023 election? ,,,,,,,,,,
16,maximum_margin,How many MLA of Congress have victory margin over ten thousand votes in 2023 election? ,,,,,,,,,,
17,maximum_margin,How many MLA of JD(s) have victory margin over ten thousand votes in 2023 election? ,,,,,,,,,,
18,minimum_margin,How many MLA lost with less than hundred votes in  2023 election? ,,,,,,,,,,
19,minimum_margin,How many MLA lost with less than five hundred votes in  2023 election? ,,,,,,,,,,
20,minimum_margin,How many MLA lost with less than one thousand votes in 2023 election? ,,,,,,,,,,
21,minimum_margin,How many MLA lost with less than five thousand votes in 2023 election? ,,,,,,,,,,
22,minimum_margin,Who registered the lowest victory margin in the 2023 election? ,,,,,,,,,,
23,minimum_margin,How many MLA of BJP have victory margin less than five thousand votes in 2023 election? ,,,,,,,,,,
24,minimum_margin,How many MLA of Congress have victory margin less than five thousand votes in 2023 election?,,,,,,,,,,
25,minimum_margin,How many MLA of JD(s) have victory margin less than five thousand votes in 2023 election? ,,,,,,,,,,
26,maximum_candidates,Which constituency recorded the largest number of candidates in 2023?,,,,,,,,,,
27,maximum_candidates,How many candidates were recorded in 2023 in the constituency?,,,,,,,,,,
28,maximum_candidates,Number of candidates who lost their deposits in the constituency with max candidates in the 2023 election?,,,,,,,,,,
29,minimum_candidates,Which constituency recorded the minimum number of candidates in 2023?,,,,,,,,,,
30,minimum_candidates,How many candidates were recorded in 2023 in the constituency?,,,,,,,,,,
31,minimum_candidates,Number of candidates who lost their deposits in the constituency with min candidates in the 2023 election?,,,,,,,,,,
32,maximum_voters,Which constituency had the maximum number of voters in 2023 assembly elections?,,,,,,,,,,
33,maximum_voters,How many votes were polled in the constituency with the maximum number of voters in 2023 assembly elections?,,,,,,,,,,
34,maximum_voters,What was the voter turnout in the constituency with the maximum number of voters in 2023 assembly elections?,,,,,,,,,,
35,maximum_voters,"In the 2023 assembly elections, out of the top 100 constituencies with the highest voter turnout, how many had incumbent MLAs of the ruling party? ",,,,,,,,,,
36,maximum_voters,"In the 2023 assembly elections, which party won the highest number of seats in the top 100 constituencies with the maximum number of voters and how many?",,,,,,,,,,
37,minimum_voters,Which constituency had the minimum number of voters in 2023 assembly elections?,,,,,,,,,,
38,minimum_voters,How many votes were polled in the constituency with the minimum number of voters in 2023 assembly elections?,,,,,,,,,,
39,minimum_voters,What was the voter turnout in the constituency with the minimum number of voters in 2023 assembly elections?,,,,,,,,,,
40,minimum_voters,"In the 2023 assembly elections, out of the 100 constituencies with the lowest voter turnout, how many had incumbent MLAs of the ruling party?",,,,,,,,,,
41,minimum_voters,"In the 2023 assembly elections, which party won the highest number of seats in the 100 constituencies with the least number of voters and how many?",,,,,,,,,,
42,candidates_fielded,Number of candidates fielded by the BJP in 2023?,,,,,,,,,,
43,candidates_fielded,Number of candidates fielded by the JD(s) in 2023?,,,,,,,,,,
44,candidates_fielded,Number of candidates fielded by the Congress in 2023?,,,,,,,,,,
